folder,name,src,thumbnail,screen_type,date,epoch
ekoshien,./videos/ekoshien/0062_20240313_161019_01.mp4,./videos/ekoshien/0062_20240313_161019_01.mp4,./videos/ekoshien/0062_20240313_161019_01.mp4.jpg,sbs,2024-03-13T16:10:20+09:00,17.53
ekoshien,./videos/ekoshien/R0010023_sphere360.MP4,./videos/ekoshien/R0010023_sphere360.MP4,./videos/ekoshien/R0010023_sphere360.MP4.jpg,sphere360,2024-03-13T22:08:09+09:00,7.03
ekoshien,./videos/ekoshien/R0010022_sphere360.MP4,./videos/ekoshien/R0010022_sphere360.MP4,./videos/ekoshien/R0010022_sphere360.MP4.jpg,sphere360,2024-03-13T19:49:32+09:00,55.68
sakulight,./videos/sakulight/sakulight_sbs.mov,./videos/sakulight/sakulight_sbs.mov,./videos/sakulight/sakulight_sbs.mov.jpg,sbs,2024-03-08T08:04:13+09:00,33.44
nishiyama,./videos/nishiyama/0040_20240311_085205_01.mp4,./videos/nishiyama/0040_20240311_085205_01.mp4,./videos/nishiyama/0040_20240311_085205_01.mp4.jpg,sbs,2024-03-11T08:52:05+09:00,5.76
nishiyama,./videos/nishiyama/0042_20240311_085611_01.mp4,./videos/nishiyama/0042_20240311_085611_01.mp4,./videos/nishiyama/0042_20240311_085611_01.mp4.jpg,sbs,2024-03-11T08:56:12+09:00,10.69
nishiyama,./videos/nishiyama/0044_20240311_085832_01.mp4,./videos/nishiyama/0044_20240311_085832_01.mp4,./videos/nishiyama/0044_20240311_085832_01.mp4.jpg,sbs,2024-03-11T08:58:33+09:00,11.56
